                        Flux [/cm^2/50MeV/1E21POT]
Bin#   Energy           numu      numubar   nue       nuebar 
120    11.00 - 12.00    1.26e+08  1.97e+07  1.81e+06  8.04e+05 
121    12.00 - 13.00    8.56e+07  9.47e+06  1.24e+06  4.68e+05 
122    13.00 - 14.00    5.24e+07  5.40e+06  4.80e+05  1.91e+05 
123    14.00 - 15.00    3.17e+07  3.23e+06  1.99e+05  1.08e+05 
124    15.00 - 16.00    2.32e+07  2.31e+06  1.73e+05  4.54e+04 
125    16.00 - 17.00    1.34e+07  5.33e+05  3.03e+04  7.36e+02 
126    17.00 - 18.00    7.98e+06  1.39e+05  2.11e+04  1.02e+02 
127    18.00 - 19.00    4.69e+06  7.07e+04  1.39e+04  1.30e+03 
128    19.00 - 20.00    1.77e+06  0.00e+00  1.26e+04  0.00e+00 
129    20.00 - 21.00    1.50e+06  0.00e+00  0.00e+00  0.00e+00 
130    21.00 - 22.00    8.03e+05  0.00e+00  0.00e+00  0.00e+00 
131    22.00 - 23.00    1.89e+04  0.00e+00  0.00e+00  0.00e+00 
132    23.00 - 24.00    1.20e+05  0.00e+00  0.00e+00  0.00e+00 
133    24.00 - 25.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
134    25.00 - 26.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
135    26.00 - 27.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
136    27.00 - 28.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
137    28.00 - 29.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
138    29.00 - 30.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
